verbatim,diagnosis,comment,verbatim_trans_fr,diagnosis_trans_fr,comment_trans_fr,text,ce
Mobile phone wont pair into vehicle,Rlink requires a softwear update to version 803 - solution1088,"Carried out software update, paired phone, tested OK",Le téléphone portable ne se couple pas au véhicule,Rlink nécessite une mise à jour logicielle vers la version 803 - solution1088,"Mise à jour logicielle effectuée, téléphone appairé, testé OK","Le téléphone portable ne se couple pas au véhicule. Rlink nécessite une mise à jour logicielle vers la version 803 - solution1088. Mise à jour logicielle effectuée, téléphone appairé, testé OK",marshmallow issue
"SEIZED, CONTROL NOT OPERATING",##,CHECK AND CONFIRM RADIO INOP. REMOVED AND REPLACED RADIO. TESTED AND ALL OK.,"SAISIE, LA COMMANDE NE FONCTIONNE PAS",##,VÉRIFIER ET CONFIRMER RADIO INOP. RADIO ENLEVÉE ET REMPLACÉE. TESTÉ ET TOUT EST OK.,"SAISIE, LA COMMANDE NE FONCTIONNE PAS. ##. VÉRIFIER ET CONFIRMER RADIO INOP. RADIO ENLEVÉE ET REMPLACÉE. TESTÉ ET TOUT EST OK.",radnav doesn't work
##,##,"CONNEXION BLUETOOTH IMPOSSIBLE, RECONFIGURATION CALCULATEUR",##,##,"CONNEXION BLUETOOTH IMPOSSIBLE, RECONFIGURATION CALCULATEUR","##. ##. CONNEXION BLUETOOTH IMPOSSIBLE, RECONFIGURATION CALCULATEUR",bluetooth
##,##,"PAR MOMENTS, PLUS DE CONNEXION BLUETOOTH, MISE A JOUR",##,##,"PAR MOMENTS, PLUS DE CONNEXION BLUETOOTH, MISE A JOUR","##. ##. PAR MOMENTS, PLUS DE CONNEXION BLUETOOTH, MISE A JOUR",bluetooth
##,##,"Connexion téléphone impossible, ok après la reprogrammation.",##,##,"Connexion téléphone impossible, ok après la reprogrammation.","##. ##. Connexion téléphone impossible, ok après la reprogrammation.",bluetooth
R-LINK SOFTWARE,SOFTWARE UPDATE REQUIRED,CARRIED OUT R-LINK UPDATE ALL OK,LOGICIEL R-LINK,MISE À JOUR DU LOGICIEL NÉCESSAIRE,MISE A JOUR R-LINK EFFECTUEE TOUT OK,LOGICIEL R-LINK. MISE À JOUR DU LOGICIEL NÉCESSAIRE. MISE A JOUR R-LINK EFFECTUEE TOUT OK,update issue
customer complained r link problems,screen blank on start up reset screen now comes on radio comes on & looses signal & satnav not movng,carry out re boot of radio / satnav and rechecked all ok,le client s'est plaint de problèmes de lien,l'écran est vide au démarrage l'écran de réinitialisation s'allume maintenant la radio s'allume et perd le signal et la navigation par satellite ne bouge pas,effectuer le redémarrage de la radio satnav et revérifier tout ok,le client s'est plaint de problèmes de lien. l'écran est vide au démarrage l'écran de réinitialisation s'allume maintenant la radio s'allume et perd le signal et la navigation par satellite ne bouge pas. effectuer le redémarrage de la radio satnav et revérifier tout ok,black screen
"Inspect the Rlink isnt working,will not turn on",##,"Confirm,unable to communicate with the radio from CLIP,reset the Rlink unit by t","Inspectez le Rlink ne fonctionne pas, ne s'allume pas",##,"Confirmez, impossible de communiquer avec la radio depuis CLIP, réinitialisez l'unité Rlink par t","Inspectez le Rlink ne fonctionne pas, ne s'allume pas. ##. Confirmez, impossible de communiquer avec la radio depuis CLIP, réinitialisez l'unité Rlink par t",black screen
CUSTOMER REPORTS SPEED CAMERA WARNING NOT WORKING,TESTED. ALL OK.,CONFIRMED FAULT. CARRIED OUT ACTIS SOLUTION 10888. INSTALL UPDATE AND,LE CLIENT RAPPORTE L'AVERTISSEMENT DE CAMÉRA DE VITESSE NE FONCTIONNE PAS,TESTÉ. TOUT va bien.,DEFAUT CONFIRME. RÉALISÉ ACTIS SOLUTION 10888. INSTALLER LA MISE À JOUR ET,LE CLIENT RAPPORTE L'AVERTISSEMENT DE CAMÉRA DE VITESSE NE FONCTIONNE PAS. TESTÉ. TOUT va bien. DEFAUT CONFIRME. RÉALISÉ ACTIS SOLUTION 10888. INSTALLER LA MISE À JOUR ET,speed reading function issue
PREKIDA P/D ZVUNIK(VISOKOTONAC),##,ZAMJENA ZVUNIKA,INTERRUPTION PD ZVU NIK (Tweeter),##,REMPLACEMENT DU HAUT-PARLEUR,INTERRUPTION PD ZVU NIK (Tweeter). ##. REMPLACEMENT DU HAUT-PARLEUR,speaker issue
*G* P/D ZVUNIK KRI,##,pred.desni zvu†nik kr†i,*G* PD ZVU NIK KR I,##,haut-parleur avant droit traverse,*G* PD ZVU NIK KR I. ##. haut-parleur avant droit traverse,speaker issue
MEDIA SYSTEM WILL NOT TURN ON,"CONF FLT, CLIP NOT COMMUNICATING,R&R UNIT CHECKING CONNS ALL APPEAR OK,LIVES & EARTHS ALL OK",SUSPECT BAD CONNECTION AS WHEN REASSEMBLED IT ALL FIRED UP & WORKING FINE,LE SYSTÈME MÉDIA NE S'ALLUME PAS,"CONF FLT, CLIP NE COMMUNIQUE PAS, L'UNITÉ R&R VÉRIFIE LES CONN.","SUSPECTER UNE MAUVAISE CONNEXION COMME LORS DU RÉASSEMBLAGE, TOUT EST ALLUMÉ ET FONCTIONNE BIEN","LE SYSTÈME MÉDIA NE S'ALLUME PAS. CONF FLT, CLIP NE COMMUNIQUE PAS, L'UNITÉ R&R VÉRIFIE LES CONN. SUSPECTER UNE MAUVAISE CONNEXION COMME LORS DU RÉASSEMBLAGE, TOUT EST ALLUMÉ ET FONCTIONNE BIEN",black screen
R LINK UPDATE,##,##,MISE À JOUR DU LIEN R,##,##,MISE À JOUR DU LIEN R. ##. ##,update issue
R LINK UPDATE,RESUBMITTED CLAIM WITH REPAIR DATE AFTER REGISTRATION DATE,##,MISE À JOUR DU LIEN R,DEMANDE RENOUVELÉE AVEC DATE DE RÉPARATION APRÈS LA DATE D'ENREGISTREMENT,##,MISE À JOUR DU LIEN R. DEMANDE RENOUVELÉE AVEC DATE DE RÉPARATION APRÈS LA DATE D'ENREGISTREMENT. ##,update issue
Investigate parking sensors inop. Icon in R-Link is greyed out. Confirm fault.,Actis solution 11025 applies. Requires reprog as per solution 10888.,"Carry out software update as per solutions, Test system. All okay now.",Enquêtez sur les capteurs de stationnement inopérants. L'icône dans R-Link est grisée. Confirmer le défaut.,La solution 11025 s'applique. Nécessite une reprogrammation selon la solution 10888.,"Effectuez la mise à jour du logiciel selon les solutions, testez le système. Tout va bien maintenant.","Enquêtez sur les capteurs de stationnement inopérants. L'icône dans R-Link est grisée. Confirmer le défaut. La solution 11025 s'applique. Nécessite une reprogrammation selon la solution 10888. Effectuez la mise à jour du logiciel selon les solutions, testez le système. Tout va bien maintenant.",adas issue
NAVIGACIJA UPDATE,"ACTIS:11128,NAVIGACIJA UPDATE","KODA SIMPTOMA:I260,NAVIGACIJA UPDATE",MISE À JOUR DE LA NAVIGATION,"ACT : 11128, MISE À JOUR DE L'EXPÉDITION","CODE DE SYMPTÔME : I260, MISE À JOUR DE LA NAVIGATION","MISE À JOUR DE LA NAVIGATION. ACT : 11128, MISE À JOUR DE L'EXPÉDITION. CODE DE SYMPTÔME : I260, MISE À JOUR DE LA NAVIGATION",map update issue
NAVIGACIJA UPDATE,"ACTIS:11128,NAVIGAC. UPDATE","KODA SIMPTOMA:I260,NAVIGACIJA UPDATE",MISE À JOUR DE LA NAVIGATION,"ACTES : 11128, NAVIGAC. METTRE À JOUR","CODE DE SYMPTÔME : I260, MISE À JOUR DE LA NAVIGATION","MISE À JOUR DE LA NAVIGATION. ACTES : 11128, NAVIGAC. METTRE À JOUR. CODE DE SYMPTÔME : I260, MISE À JOUR DE LA NAVIGATION",map update issue
##,##,VOIR 1-N3TFZC,##,##,VOIR 1-N3TFZC,##. ##. VOIR 1-N3TFZC,display issue
NIEUWE AUTO MET VEROUDERDE SOFTWARE,SOFTWARE-UPDATE UITGEVOERD,##,NOUVELLE VOITURE AVEC UN LOGICIEL OBSOLÈTE,MISE À JOUR DU LOGICIEL EFFECTUÉE,##,NOUVELLE VOITURE AVEC UN LOGICIEL OBSOLÈTE. MISE À JOUR DU LOGICIEL EFFECTUÉE. ##,update issue
SCHERMO MULTIMEDIALE BLOCCATO,AUTORADIO CONGELATO  (1- N1UJSP),SOSTIT. AUTORADIO (1- N1UJSP),ÉCRAN MULTIMÉDIA VERROUILLÉ,AUTORADIO CONGELÉ (1- N1UJSP),REMPLACEMENT RADIO (1-N1UJSP),ÉCRAN MULTIMÉDIA VERROUILLÉ. AUTORADIO CONGELÉ (1- N1UJSP). REMPLACEMENT RADIO (1-N1UJSP),display issue
UP DATE R LINK,MCS I202 UP DATE R.LINK,##,MISE À JOUR R LIEN,MCS I202 MISE A JOUR R.LINK,##,MISE À JOUR R LIEN. MCS I202 MISE A JOUR R.LINK. ##,update issue
R.LINK,MCS I202 UP DATE R.LINK UITGEVOERD,##,R.LINK,MCS I202 MISE A JOUR R.LINK EFFECTUEE,##,R.LINK. MCS I202 MISE A JOUR R.LINK EFFECTUEE. ##,update issue
R.LINK,MCS I202 R.LINK UP DATE UITGEVOERD,##,R.LINK,MCS I202 R.LINK MISE A JOUR EFFECTUEE,##,R.LINK. MCS I202 R.LINK MISE A JOUR EFFECTUEE. ##,update issue
R.LINK,MCS I202 UP DATE R.LINK,##,R.LINK,MCS I202 MISE A JOUR R.LINK,##,R.LINK. MCS I202 MISE A JOUR R.LINK. ##,update issue
RADIO ONTVANGT SLECHT,ACTIS OPLOSSING 10950 TOEGEPAST,##,LA RADIO REÇOIT MAUVAIS,ACTIS SOLUTION 10950 APPLIQUÉ,##,LA RADIO REÇOIT MAUVAIS. ACTIS SOLUTION 10950 APPLIQUÉ. ##,reception issue ( fm am dab gps)
CENRAAL SCHERM NAVIGATIE WERKT NIET,SCHERM DEFECT,SCHERM VERVANGEN,LA NAVIGATION SUR L'ÉCRAN CENTRAL NE FONCTIONNE PAS,ÉCRAN DÉFECTUEUX,REMPLACER L'ÉCRAN,LA NAVIGATION SUR L'ÉCRAN CENTRAL NE FONCTIONNE PAS. ÉCRAN DÉFECTUEUX. REMPLACER L'ÉCRAN,display issue
"R LINK SYSTEEM WERKT NIET GOED, LIVE SERVICES WERKEN NIET",UPDATE VAN R LINK UITGEVOERD,AUTOMATISCHE CONFIGURATIE EN INSTELLEN R LINK,"LE SYSTÈME R LINK NE FONCTIONNE PAS CORRECTEMENT, LES SERVICES EN DIRECT NE FONCTIONNENT PAS",MISE À JOUR R LINK EFFECTUÉE,CONFIGURATION AUTOMATIQUE ET SETUP R LINK,"LE SYSTÈME R LINK NE FONCTIONNE PAS CORRECTEMENT, LES SERVICES EN DIRECT NE FONCTIONNENT PAS. MISE À JOUR R LINK EFFECTUÉE. CONFIGURATION AUTOMATIQUE ET SETUP R LINK",connectivity issue
ECRAN GPS FENDU,##,voir N° 1-mz8dlw,ECRAN GPS FENDU,##,voir N° 1-mz8dlw,ECRAN GPS FENDU. ##. voir N° 1-mz8dlw,display issue
TELEFOON KOPPELD NIET MET RADIO,CONTROLE WERKING KOPPELING TELEFOON,FOUT IN CONFIGURATIE,LE TÉLÉPHONE NE SE JUMELLE PAS AVEC LA RADIO,VÉRIFIER LE FONCTIONNEMENT APPARIEMENT DU TÉLÉPHONE,ERREUR DE CONFIGURATION,LE TÉLÉPHONE NE SE JUMELLE PAS AVEC LA RADIO. VÉRIFIER LE FONCTIONNEMENT APPARIEMENT DU TÉLÉPHONE. ERREUR DE CONFIGURATION,bluetooth
"R LINK SYSTEEM IS UITGEVALLEN, SCHERM BLIJFT ZWART.",KLACHT WAARGENOMEN : R LINK DOET NIETS MEER SCHERM BLIJFT ZWART.,"OPLOSSING ; AUTOMATISCHE CONFIGURATIE UITVOEREN, ALLES WERKT WEER","LE SYSTÈME R LINK A ÉCHOUÉ, L'ÉCRAN RESTE NOIR.",PLAINTE OBSERVEE : R LINK NE FAIT PLUS RIEN L'ECRAN RESTE NOIR.,"SOLUTION ; EXÉCUTEZ LA CONFIGURATION AUTOMATIQUE, TOUT FONCTIONNE À NOUVEAU","LE SYSTÈME R LINK A ÉCHOUÉ, L'ÉCRAN RESTE NOIR. PLAINTE OBSERVEE : R LINK NE FAIT PLUS RIEN L'ECRAN RESTE NOIR. SOLUTION ; EXÉCUTEZ LA CONFIGURATION AUTOMATIQUE, TOUT FONCTIONNE À NOUVEAU",black screen
MESSAGE   FREINAGE ACTIF DESACTIVE   S'ALLUME PAR INTERMITENCE,"controle clip , essai ras ce jour, client revient si reapparition defaut",def en memoire // DTC5B0686// 5B0E86//5B0F86,MESSAGE   FREINAGE ACTIF DESACTIVE   S'ALLUME PAR INTERMITENCE,"controle clip , essai ras ce jour, client revient si reapparition defaut",def en memoire  DTC5B0686 5B0E865B0F86,"MESSAGE  FREINAGE ACTIF DESACTIVE  S'ALLUME PAR INTERMITENCE. controle clip , essai ras ce jour, client revient si reapparition defaut. def en memoire DTC5B0686 5B0E865B0F86",wrong designation
Navigation zeitgt keine Radargeréte an,Kontrolle der Einstellung IO Fehlersuche Navi reprègrammiert,##,La navigation ne montre aucun appareil radar,Contrôle du réglage IO Dépannage Navi reprogrammé,##,La navigation ne montre aucun appareil radar. Contrôle du réglage IO Dépannage Navi reprogrammé. ##,adas issue
##,##,tm 3077,##,##,tm 3077,##. ##. tm 3077,reception issue ( fm am dab gps)
PLUS D AFIICHAGE ECRAN R LINK,##,1NAUXN7,PLUS D AFIICHAGE ECRAN R LINK,##,1NAUXN7,PLUS D AFIICHAGE ECRAN R LINK. ##. 1NAUXN7,display issue
FONCTION APPEL NFP,CONFIG AUTO CALCULATEUR DE NAV,RESET BATTERIE 1MIN + LANCEMENT CONFIG AUTO RADIO + LANCEMEN T RZ004 + REINITIAL,FONCTION APPEL NFP,CONFIG AUTO CALCULATEUR DE NAV,RESET BATTERIE 1MIN + LANCEMENT CONFIG AUTO RADIO + LANCEMEN T RZ004 + REINITIAL,FONCTION APPEL NFP. CONFIG AUTO CALCULATEUR DE NAV. RESET BATTERIE 1MIN + LANCEMENT CONFIG AUTO RADIO + LANCEMEN T RZ004 + REINITIAL,sound issue
##,##,ECRAN MULTIMEDIA AVANT NE S ALLUME PAS,##,##,ECRAN MULTIMEDIA AVANT NE S ALLUME PAS,##. ##. ECRAN MULTIMEDIA AVANT NE S ALLUME PAS,black screen
BUETHOOTH PAS DE CONNEXION,PAS DE CONNEXION BLUETOOTH,RECONFIG AUTO DE LA RADIO,BUETHOOTH PAS DE CONNEXION,PAS DE CONNEXION BLUETOOTH,RÉINITIALISATION AUTOMATIQUE DE LA RADIO,BUETHOOTH PAS DE CONNEXION. PAS DE CONNEXION BLUETOOTH. RÉINITIALISATION AUTOMATIQUE DE LA RADIO,bluetooth
TEL SE CONNECTE MAIS LES INTERLOCUTEURS NE S'ENTENDENT PAS,TEL SE CONNECTE MAIS LES INTERLOCUTEURS NE S'ENTENDENT PAS,VOIR 1-MTYH4Z,TEL SE CONNECTE MAIS LES INTERLOCUTEURS NE S'ENTENDENT PAS,TEL SE CONNECTE MAIS LES INTERLOCUTEURS NE S'ENTENDENT PAS,VOIR 1-MTYH4Z,TEL SE CONNECTE MAIS LES INTERLOCUTEURS NE S'ENTENDENT PAS. TEL SE CONNECTE MAIS LES INTERLOCUTEURS NE S'ENTENDENT PAS. VOIR 1-MTYH4Z,sound issue
ECRAN NOIR TABLETTE,REPARATION ALIMENTATION ELECTRIQUE,##,ECRAN NOIR TABLETTE,REPARATION ALIMENTATION ELECTRIQUE,##,ECRAN NOIR TABLETTE. REPARATION ALIMENTATION ELECTRIQUE. ##,black screen
IMPOSSIBLE MONTER OU BAISSER LA RADIO,##,IMPOSSIBLE DE MONTEROU BAISSER LE SON RADIO. PASSAGE CLIP. DIAGNOSTIC. RESET. TE,IMPOSSIBLE MONTER OU BAISSER LA RADIO,##,IMPOSSIBLE DE MONTEROU BAISSER LE SON RADIO. PASSAGE CLIP. DIAGNOSTIC. RESET. TE,IMPOSSIBLE MONTER OU BAISSER LA RADIO. ##. IMPOSSIBLE DE MONTEROU BAISSER LE SON RADIO. PASSAGE CLIP. DIAGNOSTIC. RESET. TE,sound issue
GEEN VERBINDING,IOV KLANT RELATIE TCU OPSTARTEN EN KONTOLEREN,##,PAS DE CONNECTION,IOV RELATION CLIENT TCU DÉMARRAGE ET CONTRÔLE,##,PAS DE CONNECTION. IOV RELATION CLIENT TCU DÉMARRAGE ET CONTRÔLE. ##,connectivity issue
BLUETHOOTH : NE FONCTIONNE PAS,DEFAUT DE PARAMETRAGE R-LINK,1-N7ZWNZ,BLUETHOOTH : NE FONCTIONNE PAS,DEFAUT DE PARAMETRAGE R-LINK,1-N7ZWNZ,BLUETHOOTH : NE FONCTIONNE PAS. DEFAUT DE PARAMETRAGE R-LINK. 1-N7ZWNZ,customer misuse
PAS DE SON SUR LES HP EN BLUETOOTH,PAS DE SON SUR LES HP EN BLUETOOTH,1-MXC7TD,PAS DE SON SUR LES HP EN BLUETOOTH,PAS DE SON SUR LES HP EN BLUETOOTH,1-MXC7TD,PAS DE SON SUR LES HP EN BLUETOOTH. PAS DE SON SUR LES HP EN BLUETOOTH. 1-MXC7TD,sound issue
ECRAN GPS NE SALLUME PAS + TB CHANGE DE COULEUR,1-NBQ3NZ DTC934155 REMP MULTIMEDIA SUITE ECRAN NOIR AVEC ALTERATION DE L ECLAIRAGE TB,1-NBQ3NZ DTC934155 REMP MULTIMEDIA SUITE ECRAN NOIR AVEC ALTERATION DE L ECL,ECRAN GPS NE SALLUME PAS + TB CHANGE DE COULEUR,1-NBQ3NZ DTC934155 REMP MULTIMEDIA SUITE ECRAN NOIR AVEC ALTERATION DE L ECLAIRAGE TB,1-NBQ3NZ DTC934155 REMP MULTIMEDIA SUITE ECRAN NOIR AVEC ALTERATION DE L ECL,ECRAN GPS NE SALLUME PAS + TB CHANGE DE COULEUR. 1-NBQ3NZ DTC934155 REMP MULTIMEDIA SUITE ECRAN NOIR AVEC ALTERATION DE L ECLAIRAGE TB. 1-NBQ3NZ DTC934155 REMP MULTIMEDIA SUITE ECRAN NOIR AVEC ALTERATION DE L ECL,radnav doesn't work
##,##,Bildschirm wird gelegentlich Schwarz. Anwendung von 0C8E,##,##,L'écran devient noir de temps en temps. Application de 0C8E,##. ##. L'écran devient noir de temps en temps. Application de 0C8E,black screen
CONTROLER ECRAN R LINK ABIME SUR LE COIN EN BAS A DROITE,##,##,CONTROLER ECRAN R LINK ABIME SUR LE COIN EN BAS A DROITE,##,##,CONTROLER ECRAN R LINK ABIME SUR LE COIN EN BAS A DROITE. ##. ##,display issue
CONNEXXION BLUETOOTH NE FONCTIONNE PAS,##,DIAG YC MISE A JOUR MULTIMEDIA,CONNEXXION BLUETOOTH NE FONCTIONNE PAS,##,DIAG YC MISE A JOUR MULTIMEDIA,CONNEXXION BLUETOOTH NE FONCTIONNE PAS. ##. DIAG YC MISE A JOUR MULTIMEDIA,bluetooth
CONEXION BLUETOOTH IMPOSSIBLE PAR MOMENT,PB MISE A JOUR RLINK,VOIR SOLUTION 10301,CONEXION BLUETOOTH IMPOSSIBLE PAR MOMENT,PB MISE A JOUR RLINK,VOIR SOLUTION 10301,CONEXION BLUETOOTH IMPOSSIBLE PAR MOMENT. PB MISE A JOUR RLINK. VOIR SOLUTION 10301,bluetooth
LOCALISATION GPS BLOQUEE EN ESPAGNE,LOCALISATION GPS BLOQUEE EN ESPAGNE,VOIR N° 1-N8S4DS,LOCALISATION GPS BLOQUEE EN ESPAGNE,LOCALISATION GPS BLOQUEE EN ESPAGNE,VOIR N° 1-N8S4DS,LOCALISATION GPS BLOQUEE EN ESPAGNE. LOCALISATION GPS BLOQUEE EN ESPAGNE. VOIR N° 1-N8S4DS,reception issue ( fm am dab gps)
VOIR PROBLEME DE SON HP ARD ET TELEPHONE NE SE CONNECTE PAS,PAR MOMENT PLUS DE SON AR,ESSAI AVEC LE CLIENT  CONTROLE ACTIS ET SYMPTOME,VOIR PROBLEME DE SON HP ARD ET TELEPHONE NE SE CONNECTE PAS,PAR MOMENT PLUS DE SON AR,ESSAI AVEC LE CLIENT  CONTROLE ACTIS ET SYMPTOME,VOIR PROBLEME DE SON HP ARD ET TELEPHONE NE SE CONNECTE PAS. PAR MOMENT PLUS DE SON AR. ESSAI AVEC LE CLIENT CONTROLE ACTIS ET SYMPTOME,speaker issue
PROBLEME R LINK / CONNECTION TEL IMPOSSIBLE,PROBLEME MISE A JOUR VERSION LOGICIEL,##,PROBLEME R LINK CONNEXION TEL IMPOSSIBLE,PROBLEME MISE A JOUR VERSION LOGICIEL,##,PROBLEME R LINK CONNEXION TEL IMPOSSIBLE. PROBLEME MISE A JOUR VERSION LOGICIEL. ##,bluetooth
NO FUNCIONA EL NAVEGADOR,CONECTAR BASE ANTENA GPS CON CABLEADO POR NO ENCHUFADO. PRUEBA OK,"CTRL CLIP, CTRL CABLEADO ANTENA GPS, SE DETECTA NO ESTABA ENCHUFADA",LE NAVIGATEUR NE FONCTIONNE PAS,CONNECTEZ LA BASE D'ANTENNE GPS AVEC LE CÂBLAGE POUR NON BRANCHE. TESTER OK,"CLIP CTRL, CÂBLAGE ANTENNE GPS CTRL, NON BRANCHE DÉTECTÉ","LE NAVIGATEUR NE FONCTIONNE PAS. CONNECTEZ LA BASE D'ANTENNE GPS AVEC LE CÂBLAGE POUR NON BRANCHE. TESTER OK. CLIP CTRL, CÂBLAGE ANTENNE GPS CTRL, NON BRANCHE DÉTECTÉ",antenna issue
REV MANOS LIBRES EN OCASIONES FALLA,APLICAR SOLUCION 33041,APLICAR SOLUCION 33041,REV MAINS LIBRES ÉCHOUE PARFOIS,APPLIQUER LA SOLUTION 33041,APPLIQUER LA SOLUTION 33041,REV MAINS LIBRES ÉCHOUE PARFOIS. APPLIQUER LA SOLUTION 33041. APPLIQUER LA SOLUTION 33041,sound issue
REPARAR PANTALLA SISTEMA MULTIMEDIA SE PONE NEGRA Y NO RESPONDE COD.SINTOMA I202,SOFTWARE PANTALLA R-LINK NO CUMPLE CON LAS CARACTERISTICAS,VERIF.ANOMALIA Y PROBAR EN OTRO VEHICULO-APLICAR SOL.N§ 10833 SUST. PANTALLA Y C,RÉPARER LE SYSTÈME MULTIMÉDIA L'ÉCRAN DEVIENT NOIR ET NE RÉPOND PAS CODE SYMPTÔME I202,LE LOGICIEL D'AFFICHAGE R-LINK NE RÉPOND PAS AUX CARACTÉRISTIQUES,VÉRIFIER L'ANOMALIE ET ESSAYER DANS UN AUTRE VÉHICULE - APPLIQUER SOL.N§ 10833 SUBST. ÉCRAN ET C,RÉPARER LE SYSTÈME MULTIMÉDIA L'ÉCRAN DEVIENT NOIR ET NE RÉPOND PAS CODE SYMPTÔME I202. LE LOGICIEL D'AFFICHAGE R-LINK NE RÉPOND PAS AUX CARACTÉRISTIQUES. VÉRIFIER L'ANOMALIE ET ESSAYER DANS UN AUTRE VÉHICULE - APPLIQUER SOL.N§ 10833 SUBST. ÉCRAN ET C,loss of tactil function on screen
NO FUNCIONA SISTEMA MULTIMEDIA,MICROCORTES EN CABLEADO INTERIOR TABLERO  1-N4LHIN,*MCS I202* CONTROL CLIP.REVISAR INSTALACION  Y CABLEADO DE TODO EL SIST MULTIMED,LE SYSTEME MULTIMEDIA NE FONCTIONNE PAS,MICROCOUPURES DANS LE TABLEAU DE CÂBLAGE INTÉRIEUR 1-N4LHIN,*MCS I202* CLIP CHECK VÉRIFIER L'INSTALLATION ET LE CÂBLAGE DE L'ENSEMBLE DU SYSTÈME MULTIMED,LE SYSTEME MULTIMEDIA NE FONCTIONNE PAS. MICROCOUPURES DANS LE TABLEAU DE CÂBLAGE INTÉRIEUR 1-N4LHIN. *MCS I202* CLIP CHECK VÉRIFIER L'INSTALLATION ET LE CÂBLAGE DE L'ENSEMBLE DU SYSTÈME MULTIMED,black screen
INFO GPS ERONNEES,##,"SUITE MAUVAISES INFOS GUIDAGE GPS, ANALYSE PUIS RECONFIGURATION AUTO CALCULATEUR",INFO GPS ERONNEES,##,"SUITE MAUVAISES INFOS GUIDAGE GPS, ANALYSE PUIS RECONFIGURATION AUTO CALCULATEUR","INFO GPS ERONNEES. ##. SUITE MAUVAISES INFOS GUIDAGE GPS, ANALYSE PUIS RECONFIGURATION AUTO CALCULATEUR",reception issue ( fm am dab gps)
R-LINK DEMANDE UNE MISE A JOUR CARTOGRAPHIE,##,"suite a info gyuidage erronnees, recherche de panne puis reconfiguration radio +",R-LINK DEMANDE UNE MISE A JOUR CARTOGRAPHIE,##,"suite a info gyuidage erronnees, recherche de panne puis reconfiguration radio +","R-LINK DEMANDE UNE MISE A JOUR CARTOGRAPHIE. ##. suite a info gyuidage erronnees, recherche de panne puis reconfiguration radio +",map update issue
ECRAN NFP,##,diag suivi selon n°1-N3H3OV,ÉCRAN PFN,##,diag suivi selon n°1-N3H3OV,ÉCRAN PFN. ##. diag suivi selon n°1-N3H3OV,display issue
LA PANTALLA TACTIL NO OBEDECE,ACTUAR SEGUN 1-MY31X3,ACTUAR SEGUN 1-MY31X3,L'ÉCRAN TACTILE N'OBÉIT PAS,AGIR SELON 1-MY31X3,AGIR SELON 1-MY31X3,L'ÉCRAN TACTILE N'OBÉIT PAS. AGIR SELON 1-MY31X3. AGIR SELON 1-MY31X3,loss of tactil function on screen
SISTEMA  DE NAVEGACION BLOQUEADO ALGUNAS VECES,ACTUAR SEGUN 1-MVHKZ2,ACTUAR SEGUN 1-MVHKZ2,SYSTÈME DE NAVIGATION VERROUILLÉ PARFOIS,AGIR SELON 1-MVHKZ2,AGIR SELON 1-MVHKZ2,SYSTÈME DE NAVIGATION VERROUILLÉ PARFOIS. AGIR SELON 1-MVHKZ2. AGIR SELON 1-MVHKZ2,reception issue ( fm am dab gps)
NO FUNCIONAN LOS RADARES,CONFIGURACION R-LINK,CONFIGURACION R-LIM,LES RADARS NE FONCTIONNENT PAS,CONFIGURATION R-LINK,CONFIGURATION R-LIM,LES RADARS NE FONCTIONNENT PAS. CONFIGURATION R-LINK. CONFIGURATION R-LIM,adas issue
CONTROLER BLUETOOTH ET ASSISTANCE AU PARKING RETROS A VERIF,##,bluetooth ne fonctionne pas,CONTROLER BLUETOOTH ET ASSISTANCE AU PARKING RETROS A VERIF,##,bluetooth ne fonctionne pas,CONTROLER BLUETOOTH ET ASSISTANCE AU PARKING RETROS A VERIF. ##. bluetooth ne fonctionne pas,bluetooth
GPS BUG BLOQUE,##,1-ND8NRH,BLOCAGE DES BOGUES GPS,##,1-ND8NRH,BLOCAGE DES BOGUES GPS. ##. 1-ND8NRH,black screen
ECRAN TACTILE SE BLOQUE,##,SUITE PLAINTE CLIENT ECRAN GPS TACTILE NE FONCT PAS ET ECRAN SE BLOQUE CONTROLE,ECRAN TACTILE SE BLOQUE,##,SUITE PLAINTE CLIENT ECRAN GPS TACTILE NE FONCT PAS ET ECRAN SE BLOQUE CONTROLE,ECRAN TACTILE SE BLOQUE. ##. SUITE PLAINTE CLIENT ECRAN GPS TACTILE NE FONCT PAS ET ECRAN SE BLOQUE CONTROLE,loss of tactil function on screen
RICEZIONE RADIO DISTURBATA,NECESSARIA LA CONFIGURAZIONE AUTORADIO PER MANCATARICEZIONE,DIAGNOSI E SISTEMAZIONE,RÉCEPTION RADIO PERTURBÉE,CONFIGURATION RADIO NÉCESSAIRE EN CAS D'ÉCHEC DE RÉCEPTION,DIAGNOSTIC ET LOGEMENT,RÉCEPTION RADIO PERTURBÉE. CONFIGURATION RADIO NÉCESSAIRE EN CAS D'ÉCHEC DE RÉCEPTION. DIAGNOSTIC ET LOGEMENT,reception issue ( fm am dab gps)
